County Code,County Name,Surname,Other Names,Party Code,Political Party Name,Abbrv
1,Mombasa,Abdalla,Amina,27,Jubilee Party,JP
1,Mombasa,Barayan,Fatma Bakari Omar,15,"United DemocraticAlliance",UDA
1,Mombasa,Kighala,Phenny Mwangura,88,"Tujibebe WakenyaParty",JIBEBE
1,Mombasa,Koske,Esther Cheptanui,12,"Wiper DemocraticMovement- Kenya",WDM
1,Mombasa,Mohamed,Zamzam Chimba,21,"Orange DemocraticMovement",ODM
1,Mombasa,Mohdhar,Lubna Nassir,Ind,Independent,IND
1,Mombasa,Obura,Zipporah Tabu,Ind,Independent,IND
1,Mombasa,Odero,Ednah Mildred Amimo,46,"United Party OfIndependent Alliance",UPIA
1,Mombasa,Omar,Zainab Abdallah,80,"Usawa Kwa WoteParty",USAWA
1,Mombasa,Rama,Afiya Mkuwewa,62,"Amani NationalCongress",ANC
1,Mombasa,Waweru,Elizabeth Muthoni,90,Umoja Summit Party,USP
1,Mombasa,Zaja,Hamisa Maalim,79,"United GreenMovement",UGM
2,Kwale,Chitsangi,"Zainab AthumanMatano",Ind,Independent,IND
2,Kwale,Masha,Bibi Salim,15,"United DemocraticAlliance",UDA
2,Kwale,Masito,Fatuma Hamisi,21,"Orange DemocraticMovement",ODM
2,Kwale,Mwanasaid,Ntembe Makoti,62,"Amani NationalCongress",ANC
2,Kwale,Mwasina,Nimusimu Iddi,85,"Democratic ActionParty- Kenya",DAP-K
2,Kwale,Shee,Husna Mwalimu,41,"United DemocraticMovement",UDM
3,Kilifi,Baya,Juliet Riziki,15,"United DemocraticAlliance",UDA
3,Kilifi,Fondo,Christine Zawadi Gona,91,Pamoja African Alliance,PAA
3,Kilifi,Kombe,Mary Luvuno,Ind,Independent,IND
3,Kilifi,Mwanyanje,Gertrude Mbeyu,21,"Orange DemocraticMovement",ODM
3,Kilifi,Ochieng,Maureen Atieno,Ind,Independent,IND
3,Kilifi,Wesa,Ephie Chari,30,"Kenya AfricanDemocratic Union-Asili","KADU-ASILI"
4,Tana River,Abdullahi,Amina Dika,33,"Kenya African NationalUnion",KANU
4,Tana River,Abio,Alfelt Mumbo,23,"Forum For RestorationOf Democracy- Kenya","FORD-KENYA"
4,Tana River,Buyotu,Nyathan Ralia,40,The New Democrats,TND
4,Tana River,Duri,Halima Ware,82,The Service Party,TSP
4,Tana River,Hadida,Melisa Nkondo,21,"Orange DemocraticMovement",ODM
4,Tana River,Hussein,Sadia Sango,15,"United DemocraticAlliance",UDA
4,Tana River,Komora,Mwanahamisi Omar,34,Safina,SAFINA
4,Tana River,Koro,Saddia Halima,41,"United DemocraticMovement",UDM
4,Tana River,Snad,Keiro Kadija,46,"United Party OfIndependent Alliance",UPIA
4,Tana River,Suleiman,Fatuma Hamaro,79,United Green Movement,UGM
4,Tana River,Twalib,Medina Halako,27,Jubilee Party,JP
4,Tana River,Wama,Angelina Naemi,85,"Democratic ActionParty- Kenya",DAP-K
4,Tana River,Zitah,Hariety Namwezi,62,"Amani NationalCongress",ANC
5,Lamu,Abdalla,Esha Nizar,21,"Orange DemocraticMovement",ODM
5,Lamu,Abdalla,Mariyam Abubakar,91,Pamoja African Alliance,PAA
5,Lamu,Loo,Amina Kale,62,"Amani NationalCongress",ANC
5,Lamu,Luwali,Loyce Dama,1,"National RainbowCoalition-Kenya","NARC-KENYA"
5,Lamu,Marubu,Monicah Muthoni,Ind,Independent,IND
5,Lamu,Mote,Nana Mohamed,27,Jubilee Party,JP
6,Taita Taveta,Chao,Linah Jemimah,91,Pamoja African Alliance,PAA
6,Taita Taveta,Katua,Catherine Mueni,33,"Kenya African NationalUnion",KANU
6,Taita Taveta,Kizidio,"Prisca MbinguMwamboa",Ind,Independent,IND
6,Taita Taveta,Lay,Joyce Wanjalah,27,Jubilee Party,JP
6,Taita Taveta,Mizighi,Lydia Haika Mnene,15,"United DemocraticAlliance",UDA
6,Taita Taveta,Mlambo,Catherine Mashame,21,"Orange DemocraticMovement",ODM
6,Taita Taveta,Mwanyumba,Esther Mkaiwawi,12,"Wiper DemocraticMovement- Kenya",WDM
6,Taita Taveta,Shuwe,Getrude Nginai Nawoti,85,"Democratic ActionParty- Kenya",DAP-K
7,Garissa,Ahmed,Katra Salat,46,"United Party OfIndependent Alliance",UPIA
7,Garissa,Buul,Khadija Ahmed,21,"Orange DemocraticMovement",ODM
7,Garissa,Dubow,Honey Hussein,68,Democratic Congress,DC
7,Garissa,Gure,Shukran Hussein,12,"Wiper DemocraticMovement- Kenya",WDM
7,Garissa,Mohamed,Amina Abdullahi,14,Party Of National Unity,PNU
7,Garissa,Mohamed,Mulki Warsame,15,"United DemocraticAlliance",UDA
7,Garissa,Olow,Asha Dekow,37,"National Agenda PartyOf Kenya",NAPK
7,Garissa,Siyad,Amina Udgoon,27,Jubilee Party,JP
8,Wajir,Abdikadir,Neema Sheikh,Ind,Independent,IND
8,Wajir,Abdille,Anisa Rashid,12,"Wiper DemocraticMovement- Kenya",WDM
8,Wajir,Ali,Fatuma Gedi,27,Jubilee Party,JP
8,Wajir,Amin,Farhiya Noor,85,"Democratic ActionParty- Kenya",DAP-K
8,Wajir,Bulle,Barey Diis,64,United Democratic Party,UDP
8,Wajir,Gabow,Meymuna Osman,15,"United DemocraticAlliance",UDA
8,Wajir,Guhad,Suli Abdi,1,"National RainbowCoalition-Kenya","NARC-KENYA"
8,Wajir,Ibrahim,Nasri Sahal,23,"Forum For RestorationOf Democracy- Kenya","FORD-KENYA"
8,Wajir,Jehow,Fatuma Abdi,21,"Orange DemocraticMovement",ODM
