County Code,County Name,Constituency Code,Constituency Name,Surname,Other Names,"PartyCode",Political Party Name,Abbrv.
1,Mombasa,1,Changamwe,Alliy,Goshi Juma,Ind,Independent,IND
1,Mombasa,1,Changamwe,Daib,Abdi Mohammed,27,Jubilee Party,JP
1,Mombasa,1,Changamwe,Fondo,Florence Wawuda,49,"Federal Party OfKenya",FPK
1,Mombasa,1,Changamwe,Kaliih,Paul Munyao,62,"Amani NationalCongress",ANC
1,Mombasa,1,Changamwe,Kiminza,Ezekiel Matuku,Ind,Independent,IND
1,Mombasa,1,Changamwe,Kyalo,Kevin Munywoki,12,"Wiper DemocraticMovement- Kenya",WDM
1,Mombasa,1,Changamwe,Malila,Mutuku Isaac,15,"United DemocraticAlliance",UDA
1,Mombasa,1,Changamwe,Nganga,Josephine Ndinda,67,"Maendeleo ChapChap Party",MCCP
1,Mombasa,1,Changamwe,Ojwang,Fredrick Okolla,39,"Peoples DemocraticParty",PDP
1,Mombasa,1,Changamwe,Omar,Muhiddin Shee,78,"Grand DreamDevelopment Party",GDDP
1,Mombasa,1,Changamwe,Sheikh,Yasser Ali,23,"Forum ForRestoration OfDemocracy-Kenya","FORD-KENYA"
1,Mombasa,1,Changamwe,Shimbwa,Omar Mwinyi,21,"Orange DemocraticMovement",ODM
1,Mombasa,1,Changamwe,Tebo,"Charles OwuorRapul",19,"Kenya SocialCongress",KSC
1,Mombasa,2,Jomvu,Aloo,Dan Aluora,29,"National RainbowCoalition",NARC
1,Mombasa,2,Jomvu,Bady,Bady Twalib,21,"Orange DemocraticMovement",ODM
1,Mombasa,2,Jomvu,Kajembe,"AbdulrahimRamadhani",Ind,Independent,IND
1,Mombasa,2,Jomvu,Lubambo,Juma Athuman,62,"Amani NationalCongress",ANC
1,Mombasa,2,Jomvu,Munyika,Karisa Nzai,15,"United DemocraticAlliance",UDA
1,Mombasa,2,Jomvu,Ochieng,Michael Bramwel,12,"Wiper DemocraticMovement- Kenya",WDM
1,Mombasa,2,Jomvu,Onyinkwa,Jared Nyakwara,80,"Usawa Kwa WoteParty",USAWA
1,Mombasa,2,Jomvu,Saburi,Stephen Konde,Ind,Independent,IND
1,Mombasa,2,Jomvu,Thoya,Juma Renson,27,Jubilee Party,JP
1,Mombasa,3,Kisauni,Bedzimba,Rashid Juma,21,"Orange DemocraticMovement",ODM
1,Mombasa,3,Kisauni,Dume,Lirkhsane Ngala,12,"Wiper DemocraticMovement- Kenya",WDM
1,Mombasa,3,Kisauni,Gambo,Beatrice Mbodze,Ind,Independent,IND
1,Mombasa,3,Kisauni,Juma,Willis Odhiambo,Ind,Independent,IND
